Izsaukuma laiks,"Pacienta vecums, gadi","Dzimums, 1 - sieviete, 2- vīrietis",Unnamed: 3,NMP pamata diagnoze: G45.9 -1; I64 - 2; I63.9 - 3  ,Nogādāšanas laiks PSKUS,"GKS skala, 1 - nav izvērtēts","FastTest skala: N Negatīvs - 1; P>60 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ≥ 60% - 2; P<15 Pozitīvs, lielo asinsvadu oklūzijas iespējamība <15% - 3; P>30 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ap 30% - 4; nav izvērtēts - 5",Uzņemšanas rezultāts,Pārvests uz,Karte,Personas kods,Iestāšanās diagnoze,Iestāšanās diagnozes nosaukums,Izrakstīšanas diagnoze,Izrakstīšanas diagnozes nosaukums,Iestāšanās laiks,Izrakstīšanas laiks,Izr_dat,Izr_mēn,Izr_gads,Izr_kustība,Izr_kustības nosaukums,Izr_nodaļa,Izr_nodaļas nosaukums,Izr_profils,Izr_profila nosaukums,Pacienta uzvārds
2025-07-07 23:10:00,60,2,,2,2025-07-08 01:58:00,8,3,Outpatient,Another hospital,K202500019,030965-30517,I64,"Stroke, not specified as hemorrhage or infarction",N39.0,"Urinary tract infection, site not specified",08.07.2025 02:28,2025-07-12 20:28:00,12,7,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Petrovs
2024-04-13 23:57:00,53,2,,3,2024-04-14 02:40:00,1,3,Hospitalized,Stroke unit,K202400020,200671-42816,I63.9,"Cerebral infarction, unspecified",A41.9,"Sepsis, unspecified organism",2024-04-14 03:01:00,2024-04-25 23:01:00,25,4,2024,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Liepiņa
2025-04-12 13:47:00,91,1,,2,2025-04-12 16:11:00,12,2,Hospitalized,Stroke unit,K202500021,220134-81118,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2025-04-12 16:32:00,2025-04-18 09:32:00,18,4,2025,1,Discharged home,404,Admission ward,30,Internal medicine,Kļaviņa
14.06.2024 05:45,69,1,,3,14/06/2024 06:42,14,2,Hospitalized,Neurology,K202400022,240955-27892,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,14/06/2024 07:16,2024-06-24 16:16:00,24,6,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Andersone
2024-10-01 17:52:00,72,1,,3,01/10/2024 19:09,1,4,Transferred,Stroke unit,K202400023,170352-87356,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,01/10/2024 19:38,2024-10-16 06:38:00,16,10,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Ozols
11.12.2025 15:00,53,1,,3,2025-12-11 16:18:00,12,2,Hospitalized,Another hospital,K202500024,020172-52516,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-12-11 17:01:00,2025-12-25 13:01:00,25,12,2025,4,Continues treatment,101,Neurology ward,10 ,Neurology,Krūmiņa
2024-08-18 01:38:00,64,2,,3,18/08/2024 03:12,15,4,Hospitalized,Another hospital,K202400025,010560-96275,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,18.08.2024 03:55,2024-08-28 18:55:00,28,8,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Kalniņa
27.02.2024 09:55,73,2,,1,2024-02-27 11:46:00,3,2,Hospitalized,Stroke unit,K202400026,260851-48684,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",27.02.2024 11:57,2024-03-10 07:57:00,10, 02,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Krūmiņš
24/06/2025 23:56,57,1,,3,25.06.2025 02:52,8,3,Hospitalized,Neurology,K202500027,040268-40775,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-06-25 03:30:00,2025-07-01 21:30:00,1,7,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Avotiņš
24.05.2024 16:41,76,2,,3,2024-05-24 19:44:00,1,2,Hospitalized,Stroke unit,K202400028,071048-18992,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",24/05/2024 20:09,2024-06-07 19:09:00,7,6,2024,2,Transferred to another hospital,101,Neurology ward,30,Internal medicine,Jansons
2024-01-23 23:35:00,64,1,,1,2024-01-24 01:40:00,3,1,Hospitalized,Neurology,K202400029,171160-49535,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-01-24 02:16:00,2024-02-03 01:16:00,3,2,2024,2,Transferred to another hospital,404,Admission ward,10,Neurology,Balode
2025-09-18 12:33:00,68,1,,3,2025-09-18 15:37:00,12,1,Hospitalized,,K202500030,120557-30006,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-09-18 16:15:00,2025-09-28 16:15:00,28,9,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Ozoliņa
2024-05-30 21:06:00,64,1,x,1,2024-05-30 23:27:00,13,2,Hospitalized,stroke unit,K202400031,211160-82972,G45.9,"Transient cerebral ischemic attack, unspecified",I50.9,"Heart failure, unspecified",2024-05-30 23:44:00,2024-06-05 02:44:00,5,6,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Andersone
2025-04-17 10:00:00,96,1,,3,17/04/2025 10:57,12,1,Hospitalized,Neurology,K202500032,220529-98930,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",2025-04-17 11:10:00,2025-04-30 17:10:00,30,4,2025,1,Discharged home,101,Neurology ward,10,Neurology,Liepiņš
2025-05-30 19:02:00,71,1,,2,2025-05-30 21:17:00,14,3,Hospitalized,Neurology,K202500033,270854-57428,I64,"Stroke, not specified as hemorrhage or infarction",A41.9,"Sepsis, unspecified organism",2025-05-30 21:24:00,2025-06-02 15:24:00,2,6,2025,1,Discharged home,404,Admission ward,10,Neurology,Andersone
2024-08-01 06:35:00,58,1,,3,01.08.2024 09:40,5,4,Outpatient,ICU,K202400034, 280666-92210 ,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",01.08.2024 09:47,2024-08-11 06:47:00,11,8,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Andersone
2024-02-29 17:50:00,82,1,,2,2024-02-29 20:09:00,4,1,Transferred,neurology,K202400035,170942-89928,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",2024-02-29 20:44:00,2024-03-02 23:44:00,2,3,2024,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Grīnbergs
27/03/2025 19:23,56,2,,1,27/03/2025 20:02,11,4,Hospitalized,ICU,K202500036,100669-33627,G45.9,"Transient cerebral ischemic attack, unspecified",E11.9,Type 2 diabetes mellitus without complications,27.03.2025 20:24,2025-04-11 18:24:00,11,4,2025,4,Continues treatment,101,Neurology ward,30,Internal medicine,Bērziņš
2024-08-29 02:00:00,74,1,,2,29.08.2024 03:18,11,4,Hospitalized,Stroke unit,K202400037,170750-79135,I64,"Stroke, not specified as hemorrhage or infarction",S72.0,Fracture of neck of femur,2024-08-29 03:49:00,2024-09-08 11:49:00,8,9,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Balodis
19.10.2025 00:03,46,1,,2,2025-10-19 02:02:00,9,2,Hospitalized,Stroke unit,K202500038,230879-28191,I64,"Stroke, not specified as hemorrhage or infarction",G51.0,Bell's palsy,19.10.2025 02:37,2025-10-21 12:37:00,21,10,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Balodis
24/01/2024 22:27,54,1,,3,24.01.2024 23:59,1,2,Hospitalized,ICU,K202400039,,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2024-01-25 00:29:00,2024-02-05 12:29:00,5,2,2024,3,Died in hospital,101,Neurology ward,10,Neurology,Avotiņš
2025-10-28 13:03:00,74,1,,1,28/10/2025 14:12,8,2,Transferred,Neurology,K202500040,111151-45811,G45.9,"Transient cerebral ischemic attack, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-10-28 14:17:00,29.10.2025 16:17,29,10,2025,4,Continues treatment,101,Neurology ward,30,Internal medicine,Ozols
2025-03-06 13:21:00,81,2,,1,2025-03-06 15:32:00,10,4,Died in admission unit,Stroke unit,K202500041,17064499051,G45.9,"Transient cerebral ischemic attack, unspecified",I21.9,"Acute myocardial infarction, unspecified",2025-03-06 15:57:00,06/03/2025 16:57,6,3,2025,3,Died in hospital,404,Admission ward,30,Internal medicine,Lapiņš
14/06/2024 05:18,32,2,,3,14.06.2024 07:59,7,2,Died in admission unit,Stroke unit,K202400042,150207-32630,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",14.06.2024 08:09,14.06.2024 16:09,14,6,2024,3,Died in hospital,404,Admission ward,30,Internal medicine,Vītola
20/12/2025 11:19,89,2,,3,2025-12-20 13:58:00,11,1,Died in admission unit,ICU,K202500043,031021-26426,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2025-12-20 14:09:00,20/12/2025 23:09,20,12,2025,3,Died in hospital,303,ICU,20,Intensīvā terapija,Kļaviņa
2025-02-17 16:12:00,68,2,,2,2025-02-17 18:51:00,4,2,transferred,Stroke unit,K202500044,270157-13718,I64,"Stroke, not specified as hemorrhage or infarction",G51.0,Bell's palsy,2025-02-17 19:11:00,2025-03-02 12:11:00,2,3,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Romanovs
2025-05-10 10:35:00,52,2,,3,10/05/2025 12:14,15,1,Hospitalized,Stroke unit,K202500045,280773-90658,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",10.05.2025 12:39,2025-05-20 18:39:00,20,5,2025,1,Discharged home,202,Stroke unit,10,Neurology,Balodis
2025-11-16 08:12:00,62,1,,3,16/11/2025 10:20,14,4,Hospitalized,Neurology,K202500046,250863-82070,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-11-16 10:31:00,2025-11-28 21:31:00,28,11,2025,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Miezītis
2024-07-22 13:41:00,66,2,x,1,22.07.2024 16:36,11,3,Hospitalized,Neurology,K202400047,281258-92478,G45.9,"Transient cerebral ischemic attack, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2024-07-22 16:58:00,02.08.2024 03:58,2,8,2024,4,Continues treatment,202,Stroke unit,10 ,Neurology,Balodis
2025-08-24 10:00:00,85,2,,3,24.08.2025 12:54,14,4,Hospitalized,Stroke unit,K202500048,180840-54869,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",24/08/2025 13:27,31/08/2025 19:27,31,8,2025,3,Died in hospital,202,Stroke unit,30,Internal medicine,Petrovs
2025-02-02 06:02:00,76,2,,3,2025-02-02 08:01:00,15,4,Hospitalized,,K202500049,090949-83664,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2025-02-02 08:26:00,2025-02-10 01:26:00,10,2,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Kļaviņa
2024-10-17 11:29:00,49,2,?,2,2024-10-17 14:32:00,14,1,Hospitalized,ICU,K202400050,260775-74930,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",2024-10-17 14:38:00,2024-10-18 17:38:00,18,10,2024,4,Continues treatment,101,Neurology ward,10,Neurology,Kļaviņa
2025-01-09 16:03:00,76,1,,3,2025-01-09 17:36:00,12,1,Hospitalized,Neurology,K202500051,110849-42512,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2025-01-09 18:15:00,2025-01-19 04:15:00,19,1,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Jansons
05.03.2025 16:18,66,1,,2,2025-03-05 17:10:00,5,4,Hospitalized,Neurology,K202500052,220459-88094,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2025-03-05 17:43:00,2025-03-16 02:43:00,16,3,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Jansone
2025-10-22 08:36:00,63,2,,3,22/10/2025 09:08,10,4,Hospitalized,Home,K202500053,030162-71875,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",22/10/2025 09:46,2025-10-27 08:46:00,27,10,2025,2,Transferred to another hospital,101,Neurology ward,30,Internal medicine,Pavlovs
2024-07-04 11:06:00,79,2,,3,04.07.2024 11:29,10,5,Hospitalized,Stroke unit,K202400054,200745-12050,I63.9,"Cerebral infarction, unspecified",A41.9,"Sepsis, unspecified organism",2024-07-04 11:51:00,2024-07-14 14:51:00,14,7,2024,1,Discharged home,101,Neurology ward,10,Neurology,Ozoliņa
2025-03-15 11:25:00,85,1,,2,15.03.2025 12:53,11,3,Hospitalized,ICU,K202500055,141240-63511,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",15/03/2025 12:59,2025-03-27 16:59:00,27,3,2025,2,Transferred to another hospital,404,Admission ward,30,Internal medicine,Ivanovs
04.10.2024 09:48,84,2,?,3,04.10.2024 12:40,14,1,Outpatient,Neurology,K202400056,240440-25376,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2024-10-04 12:45:00,2024-10-15 01:45:00,15,10,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Kļaviņš
22.10.2024 19:49,61,2,,1,2024-10-22 21:03:00,1,3,Outpatient,Stroke unit,K202400057,111163-43728,G45.9,"Transient cerebral ischemic attack, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",22/10/2024 21:15,27/10/2024 09:15,27,10,2024,1,Discharged home,202,Stroke unit,10,Neurology,bērziņa
03/12/2024 01:11,67,1,,1,03/12/2024 03:38,9,3,Hospitalized,Neurology,K202400058,091257-80220,G45.9,"Transient cerebral ischemic attack, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",03.12.2024 04:10,2024-12-13 21:10:00,13,12,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Miezītis
27/04/2024 09:45,76,1,,1,27/04/2024 11:40,11,1,Hospitalized,Neurology,K202400059,080148-37710,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",27.04.2024 12:07,2024-05-07 02:07:00,7,5,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Balode
2025-07-20 18:00:00,84,2,,2,2025-07-20 18:53:00,10,5,Hospitalized,Home,K202500060,091141-69054,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",2025-07-20 19:01:00,2025-07-28 09:01:00,28,7,2025,2,Transferred to another hospital,202,Stroke unit,10 ,Internal medicine,Bērziņš
27.01.2025 21:01,65,1,,2,2025-01-27 23:13:00,11,2,Hospitalized,Stroke unit,K202500061,250760-21101,I64,"Stroke, not specified as hemorrhage or infarction",K35.8,"Acute appendicitis, other and unspecified",2025-01-27 23:51:00,2025-02-10 01:51:00,10,2,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Siliņš
2025-10-28 19:25:00,69,2,,1,2025-10-28 21:24:00,13,2,Hospitalized,Home,K202500062,160456-51180,G45.9,"Transient cerebral ischemic attack, unspecified",G51.0,Bell's palsy,2025-10-28 21:48:00,12/11/2025 02:48,12,11,2025,3,Died in hospital,999,Neurology ward,30,Internal medicine,Kalniņa
2025-09-30 13:06:00,57,1,,3,2025-09-30 15:08:00,4,2,Hospitalized,Neurology,K202500063,280968-64827,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2025-09-30 15:42:00,2025-10-09 00:42:00,9,10,2025,1,Discharged home,404,Admission ward,30,Internal medicine,PAVLOVS
2024-11-19 07:30:00,56,1,,2,2024-11-19 09:28:00,13,3,Hospitalized,neurology,K202400064, 120368-50880 ,I64,"Stroke, not specified as hemorrhage or infarction",J18.9,"Pneumonia, unspecified organism",2024-11-19 10:00:00,2024-11-21 23:00:00,21,11,2024,1,Discharged home,404,Admission ward,10,Neurology,Liepiņa
2024-12-03 15:56:00,82,1,,2,03.12.2024 18:04,1,3,Hospitalized,Stroke unit,K202400065,041042-80371,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2024-12-03 18:32:00,08.12.2024 15:32,8,12,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Kalniņš
2024-06-20 15:33:00,89,1,,2,2024-06-20 16:27:00,9,3,Hospitalized,Neurology,K202400066,050535-34523,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",2024-06-20 17:02:00,2024-07-02 12:02:00,2,7,2024,,Continues treatment,202,Stroke unit,10,Neurology,Avotiņš
2024-09-01 23:19:00,71,2,?,3,02.09.2024 00:05,3,4,Hospitalized,Home,K202400067,251153-42444,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2024-09-02 00:44:00,2024-09-03 05:44:00,3,9,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Liepiņa
2025-05-25 21:53:00,85,1,,2,2025-05-25 23:25:00,11,5,Transferred,Home,K202500068,051140-27392,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",2025-05-25 23:46:00,29/05/2025 04:46,29,5,2025,3,Died in hospital,303,ICU,20,Intensīvā terapija,Krūmiņš
2024-01-04 14:26:00,76,1,,3,2024-01-04 16:41:00,12,2,Hospitalized,Stroke unit,K202400069,190948-27117,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2024-01-04 17:24:00,2024-01-14 04:24:00,14,1,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Ivanovs
2025-02-03 01:40:00,63,2,,2,2025-02-03 03:33:00,14,1,Hospitalized,ICU,K202500070,050262-87814,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,03.02.2025 04:18,2025-02-08 11:18:00,8,2,2025,1,Discharged home,101,Neurology ward,10,Neurology,Avotiņš
2024-04-09 15:09:00,76,1,,3,2024-04-09 16:09:00,9,1,Transferred,Neurology,K202400071,241048-60335,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2024-04-09 16:40:00,19.04.2024 10:40,19,4,2024,4,Continues treatment,101,Neurology ward,10,Neurology,Liepiņš
2024-12-14 13:34:00,91,1,,2,14/12/2024 16:35,1,5,Hospitalized,Stroke unit,K202400072,250833-19567,I64,"Stroke, not specified as hemorrhage or infarction",A41.9,"Sepsis, unspecified organism",2024-12-14 17:16:00,2024-12-23 07:16:00,23,12,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Petrovs
2025-04-20 20:45:00,71,1,,2,20.04.2025 22:54,1,1,Hospitalized,Neurology,K202500073,230354-11487,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",20.04.2025 23:12,2025-04-27 21:12:00,27,4,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Kalniņa
2025-06-08 11:14:00,92,1,?,2,2025-06-08 12:37:00,14,4,Outpatient,Stroke unit,K202500074,180133-95944,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",08.06.2025 12:46,09/06/2025 02:46,9,6,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Balode
12/01/2024 14:32,37,2,,3,2024-01-12 16:07:00,7,2,Outpatient,Neurology,K202400075,271187-11257,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-01-12 16:49:00,2024-01-18 05:49:00,18,1,2024,1,Discharged home,404,Admission ward,10,Neurology,Eglītis
2024-05-19 04:39:00,82,2,,1,2024-05-19 07:22:00,10,5,Hospitalized,Stroke unit,K202400076,030442-36569,G45.9,"Transient cerebral ischemic attack, unspecified",K35.8,"Acute appendicitis, other and unspecified",2024-05-19 07:28:00,28.05.2024 00:28,28,5,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Krūmiņš
2024-08-04 00:17:00,73,1,,3,2024-08-04 02:16:00,1,2,Hospitalized,Another hospital,K202400077,040351-11567,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-08-04 02:51:00,14/08/2024 01:51,14,8,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Petrova
2025-11-02 08:56:00,68,2,,3,02/11/2025 10:55,1,4,Hospitalized,Stroke unit,K202500078,180757-72787,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,02.11.2025 11:29,2025-11-08 18:29:00,8,11,2025,1,Discharged home,101,Neurology ward,10,Neurology,Avotiņš
